Main diagnose,Differential diagnose
Musculoskeletal,
Closed fracture,Open fracture
Fracture,Dislocation
Osteoporosis,Osteoarthritis
ACL tear,Menical tear
Achilles tendon ruptur,Ankle sprain
Osteoarthritis ,Rheumatoid arthritis
Osteoarthritis,Gout
Pes planus (flatfoot)’ ,Pes cavus (high arch)
Genu valgum (x foot)’,Genu varum (O foot)
Scoliosis idiopathic ,Scoliosis congenital
,
Cardiovascular,
Septic shock,Hemorrhagic shock
Cardiogenic shock,Septic shock
Cardiogenic shock ,Hemorhagic shock
Stable angina,Unstable angina
NSTEMI,STEMI
Left heart failure’,Right heart failure
Essential hypertension,Secondary hypertension
Pulmonary hypertension,Secondary hypertension
Rheumatic heart disease,Endocarditis
,
Respiratory,
Influenza,Pertusis
SARS,Avian influenza
Influenza,Avian influenza
Pertusis,SARS
Faringitis,Tonsilitis
Laringitis,tonsilitis
Influenza,Acute respiratory distress syndrome
Pertusis,Pneumonia
Pertusis,Bronchiolitis
Faringitis,Diphtheria
Faringitis ,Epiglotitis
Tonsilitis,Epiglotitis
Tonsilitis,Peritonsilar  abcess
Diphtheria,Epiglotitis
Diphtheria’,Pertusis
Bacterial aspiration’,Mechanical aspiration
Viral pneumonia,Bacterial pneumonia
Asthma,COPD 
Asthma,Bronchiolitis
COPD,Bronchiolitis
COPD,Bronchiectasis
Asthma,Bronchiectasis
Bronchiolitis,Acute bronchitis
Acute bronchitis,Asthma
TBC,Lung cancer
TBC,Pneumonia
Pneumonia,Bronchiolitis
Pneumonia ,Acute bronchitis
Lung cancer,Pleural effusion
Secondary Pneumothorax ‘,Tension pneumothorax
Pleural effusion,Pneumonia
Pleural effusion ,TBC
Pneumothorax ventil’,Pneumothorax
Chronic bronchitis,Emphysema
Pulmonary edema’,Lung abscess
Hemothorax,Pneumothorax
,
Hematoimmunology,
Malaria,Typhoid
Dengue fever,Measles
Leptospirosis,Dengue
Immune thrombocytopenia,Leukemia 
Hemophilia,von Willebrand disease
Hemophilia,Scurvy
Microcytic anemia’,Macrocytic anemia
Acute lymphoblastic leukemia (ALL)’,Acute myelogenous leukemia (AML)
Chronic lymphocytic leukemia (CLL)’ ,Chronic myelogenous leukemia (CML)
Alpha thalassemia’,Beta thalassemia
Hodgkin lymphoma’ ,Non Hodgkin lymphoma
Systemic lupus erythematosus (SLE),Lymphoma
Systemic lupus erythematosus (SLE),Rheumatoid arthritis
,
Neurobehavior,
Meningitis,Stroke
Meningitis’,Encephalitis
Viral encephalitis’ ,Bacterial encephalitis
Ischemic stroke’,Hemorrhagic stroke
Bell’s palsy,Stroke
Parkinson’s disease’,Parkinsonism
Simple febrile seizure’,Complex febrile seizure
Seizure’,Febrile seizure
Epilepsy,Transient Ischemic Attack (TIA)
Epilepsy’,Status epilepticus
